"country","participants","latitude","longitude"
"Argentina",1,-38.416097,-63.616672
"Australia",19,-25.274398,133.775136
"Austria",1,47.516231,14.550072
"Belgium",5,50.503887,4.469936
"Brazil",3,-14.235004,-51.92528
"Bulgaria",3,42.733883,25.48583
"Canada",44,56.130366,-106.346771
"Chile",4,-35.675147,-71.542969
"Colombia",1,4.570868,-74.297333
"Czechia",4,49.817492,15.472962
"Denmark",2,56.26392,9.501785
"Estonia",1,58.595272,25.013607
"Faroe Islands",1,61.892635,-6.911806
"Finland",9,61.92411,25.748151
"France",24,46.227638,2.213749
"Germany",64,51.165691,10.451526
"Hungary",4,47.162494,19.503304
"Iceland",1,64.963051,-19.020835
"India",6,20.593684,78.96288
"Ireland",5,53.41291,-8.24389
"Israel",1,31.046051,34.851612
"Italy",5,41.87194,12.56738
"New Zealand",4,-40.900557,174.885971
"Norway",3,60.472024,8.468946
"Poland",3,51.919438,19.145136
"Portugal",2,39.399872,-8.224454
"Serbia",1,44.016521,21.005859
"Singapore",1,1.352083,103.819836
"South Africa",1,-30.559482,22.937506
"Spain",46,40.463667,-3.74922
"Sweden",9,60.128161,18.643501
"Switzerland",6,46.818188,8.227512
"Taiwan",2,23.69781,120.960515
"Thailand",1,15.870032,100.992541
"The Netherlands",16,52.132633,5.291266
"Turkey",1,38.963745,35.243322
"UK",53,55.378051,-3.435973
"USA",73,37.09024,-95.712891
