country,latitude,longitude
argentina,-38.416097,-63.616672
australia,-25.274398,133.775136
austria,47.516231,14.550072
belgium,50.503887,4.469936
brazil,-14.235004,-51.92528
bulgaria,42.733883,25.48583
canada,56.130366,-106.346771
chile,-35.675147,-71.542969
colombia,4.570868,-74.297333
czechia,49.817492,15.472962
denmark,56.26392,9.501785
estonia,58.595272,25.013607
faroe islands,61.892635,-6.911806
finland,61.92411,25.748151
france,46.227638,2.213749
germany,51.165691,10.451526
hungary,47.162494,19.503304
iceland,64.963051,-19.020835
india,20.593684,78.96288
ireland,53.41291,-8.24389
israel,31.046051,34.851612
italy,41.87194,12.56738
new zealand,-40.900557,174.885971
norway,60.472024,8.468946
poland,51.919438,19.145136
portugal,39.399872,-8.224454
serbia,44.016521,21.005859
singapore,1.352083,103.819836
south africa,-30.559482,22.937506
spain,40.463667,-3.74922
sweden,60.128161,18.643501
switzerland,46.818188,8.227512
taiwan,23.69781,120.960515
thailand,15.870032,100.992541
the netherlands,52.132633,5.291266
turkey,38.963745,35.243322
UK,55.378051,-3.435973
USA,37.09024,-95.712891
