"career.stage","personality.experience","country","personality.definition","personality.interpretation","repeatability.interpretation","repeatability.consistency","repeatability.comparison","single.measurements","unpartitioned.data","personality.data","comments","personality.definition.2","personality.interpretation.2","repeatability.interpretation.2","repeatability.comparison.2"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No",NA,NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A",NA,NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Iceland","Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","No","I do not know",NA,NA,"Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"PhD researcher","No","UK","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","No",NA,NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Spain","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","I do not know","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know",NA,NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know",NA,NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a co-author","Italy","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","Yes","I do not know",NA,NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"PhD researcher","No","Germany","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","N/A","N/A",NA,NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Finland","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","Yes",NA,NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","UK","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","N/A","N/A",NA,NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Germany","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","d) Neither interpretations a) nor b) can be made","N/A","N/A",NA,"Good luck","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
