"studyID","title","year","journal","volume","issue","pages","authors","url","abstract","t.and.a_decision","t.and.a_exclusion_reason","fulltext_decision","fulltext_exclusion_reason","repeatability","repeatability_interpretation","repeatability_interpretation_context","repeatability_consist_predict","repeatability_consist_predict_context","repetability_comparison","repetability_comparison_interpretation","repetability_comparison_interpretation_context","unstandardize_variance","comments","observer","unstandardize_variance.2","times.extracted"
"APR006","Behavioral syndromes vary among geographically distinct populations in a reptile",2019,"BEHAVIORAL ECOLOGY",30,2,"393-401","Michelangeli, Marcus and Chapple, David G. and Goulet, Celine T. and Bertram, Michael G. and Wong, Bob B. M.","10.1093/beheco/ary178","A key goal in the study of animal personalities is to determine their adaptive potential and importance for behavioral evolution. Behavioral syndromes are evolutionarily intriguing because they suggest that an adaptive change in one behavior requires a concomitant shift in another. Within species, behavioral syndromes might be evolutionarily constrained by intrinsic mechanisms that restrict behaviors from evolving independently. Alternatively, behavioral correlations might easily be decoupled over short evolutionary time scales due to variation in selective pressures between environments. In this regard, comparative studies that explore differences in diverse aspects of personality between geographically distinct populations can provide valuable insights into the evolutionary processes acting on different behavioral tendencies. Accordingly, we investigated how behavioral types and behavioral syndromes differed across four geographically distinct populations of the delicate skink, Lampropholis delicata. We found strong evidence of mean trait-level variation in activity, exploration, and boldness across populations, suggesting adaptation to local environmental conditions. Similarly, we found that within-population correlations involving boldness varied substantially between populations. However, we did find a consistent within- and among-population correlation between activity and exploration, suggesting that this behavioral syndrome is relatively stable and could explain behavioral divergence in activity and exploration between populations. We suggest that there may be thermal physiological mechanisms that could be limiting the adaptive potential of an activity-exploration correlation in the delicate skink. Broadly, we argue that some behavioral correlations may be more adaptive than others, and that this should be more regularly considered within the animal personality framework.","yes",NA,NA,NA,"yes","both","We found markedly diverse personality traits across four native range populations of the delicate skink. Briefly, the Sydney population was comprised of consistently more active and explorative behavioral types compared with the Coffs Harbour, Tenterfield, and Brisbane populations. Sydney lizards were also consistently less bold than lizards from Tenterfield and Coffs Harbour.","yes","Individuals were tested in each behavioral assay twice in order to assess behavioral repeatability (or consistency)","yes","among","We found evidence of mean behavioral-type differences amongst populations (Table 4).","yes",NA,"MM","yes",2
"APR006","Behavioral syndromes vary among geographically distinct populations in a reptile",2019,"BEHAVIORAL ECOLOGY",30,2,"393-401","Michelangeli, Marcus and Chapple, David G. and Goulet, Celine T. and Bertram, Michael G. and Wong, Bob B. M.","10.1093/beheco/ary178","A key goal in the study of animal personalities is to determine their adaptive potential and importance for behavioral evolution. Behavioral syndromes are evolutionarily intriguing because they suggest that an adaptive change in one behavior requires a concomitant shift in another. Within species, behavioral syndromes might be evolutionarily constrained by intrinsic mechanisms that restrict behaviors from evolving independently. Alternatively, behavioral correlations might easily be decoupled over short evolutionary time scales due to variation in selective pressures between environments. In this regard, comparative studies that explore differences in diverse aspects of personality between geographically distinct populations can provide valuable insights into the evolutionary processes acting on different behavioral tendencies. Accordingly, we investigated how behavioral types and behavioral syndromes differed across four geographically distinct populations of the delicate skink, Lampropholis delicata. We found strong evidence of mean trait-level variation in activity, exploration, and boldness across populations, suggesting adaptation to local environmental conditions. Similarly, we found that within-population correlations involving boldness varied substantially between populations. However, we did find a consistent within- and among-population correlation between activity and exploration, suggesting that this behavioral syndrome is relatively stable and could explain behavioral divergence in activity and exploration between populations. We suggest that there may be thermal physiological mechanisms that could be limiting the adaptive potential of an activity-exploration correlation in the delicate skink. Broadly, we argue that some behavioral correlations may be more adaptive than others, and that this should be more regularly considered within the animal personality framework.","yes",NA,"yes",NA,"yes","none",NA,"no",NA,"no",NA,NA,"yes","R said to be consistency in the early methods, but not statistical methods","PN","yes",2
"APR039","Parenting styles in white-rumped swallows (Tachycineta leucorrhoa) show a trade-off between nest defense and chick feeding",2018,"ETHOLOGY",124,9,"623-632","Wischhoff, Uschi and Marques-Santos, Fern and o and Manica, Lilian T. and Roper, James J. and Rodrigues, Marcos","10.1111/eth.12770","Studies about personalities in wild animals usually focus on five categories of behavioral traits that do not easily accommodate all aspects of parental care, a class of behaviors with direct consequence to reproductive success. Parental care can vary consistently between individuals and constitute parenting styles. Here we investigate the consistency of four behaviors of parental care across two breeding seasons of white-rumped swallows Tachycineta leucorrhoa in southern Brazil. These behaviors are a prospection of potential nest-sites, nest defense against predators or conspecifics, and chick feeding. If these first three behaviors are consistent, they can be classified according to the standard categories of personality as exploration, boldness, and aggressiveness, respectively. We find that all behaviors, except exploration, are consistent between individuals in the long term. We also show that, besides individual identity, couple identity is an important component explaining variation in behavior. This pattern can arise if behavior influences pair formation or if behavior is a consequence of a common environment affecting the couple. We show that, depending on the parental task, males or females are more consistent, suggesting that sexes are adopting different strategies of parental care allocation. We then investigate if there is a trade-off between nest defense and chick feeding. We find that birds that defend more also feed the brood less often and suggest that testosterone might be the mechanism modulating this trade-off. Lastly, we discuss the implications of our results to mate choice and highlight the need for studies linking parenting styles to fitness in swallow species.","yes",NA,NA,NA,"yes","within","exploration was not consistent in the long term and cannot be considered as a personality trait here","yes","relative repeatabilities at the individual level represent long-term consistency","yes","within","Males behaved consistently between-seasons (0.41), while females only within seasons (0.25)","yes",NA,"MM","yes",2
"APR039","Parenting styles in white-rumped swallows (Tachycineta leucorrhoa) show a trade-off between nest defense and chick feeding",2018,"ETHOLOGY",124,9,"623-632","Wischhoff, Uschi and Marques-Santos, Fern and o and Manica, Lilian T. and Roper, James J. and Rodrigues, Marcos","10.1111/eth.12770","Studies about personalities in wild animals usually focus on five categories of behavioral traits that do not easily accommodate all aspects of parental care, a class of behaviors with direct consequence to reproductive success. Parental care can vary consistently between individuals and constitute parenting styles. Here we investigate the consistency of four behaviors of parental care across two breeding seasons of white-rumped swallows Tachycineta leucorrhoa in southern Brazil. These behaviors are a prospection of potential nest-sites, nest defense against predators or conspecifics, and chick feeding. If these first three behaviors are consistent, they can be classified according to the standard categories of personality as exploration, boldness, and aggressiveness, respectively. We find that all behaviors, except exploration, are consistent between individuals in the long term. We also show that, besides individual identity, couple identity is an important component explaining variation in behavior. This pattern can arise if behavior influences pair formation or if behavior is a consequence of a common environment affecting the couple. We show that, depending on the parental task, males or females are more consistent, suggesting that sexes are adopting different strategies of parental care allocation. We then investigate if there is a trade-off between nest defense and chick feeding. We find that birds that defend more also feed the brood less often and suggest that testosterone might be the mechanism modulating this trade-off. Lastly, we discuss the implications of our results to mate choice and highlight the need for studies linking parenting styles to fitness in swallow species.","yes",NA,"yes",NA,"yes","both","""individual identity accounted for roughly half of the total variation in boldness and aggressiveness"", ""exploration was not consistent in the long term""","yes","""exploration was not consistent in the long term""","yes","both","""with males being more consistent in exploration and females in nest defense against predators"", ""variation of feeding by males was linked to individual identity irrespective of brood, while the opposite was found for females""","yes",NA,"PN","yes",2
"APR055","Who dares does not always win: risk-averse rockpool prawns are better at controlling a limited food resource",2018,"ANIMAL BEHAVIOUR",140,NA,"187-197","Maskrey, Daniel K. and White, Stephen J. and Wilson, Alastair J. and Houslay, Thomas M.","10.1016/j.anbehav.2018.04.023","Animal `personality', the phenomenon of consistent individual differences in behaviour within populations, has been documented widely, yet its functional significance and the reasons for its persistence remain unclear. One possibility is that among-individual behavioural variation is linked to fitness-determining traits via effects on resource acquisition. In this study, we tested this idea, using rockpool prawns, Palaemon elegans, to test for a correlation between `high-risk exploration' and the ability to monopolize a limited resource. Modified open field trials (OFTs) confirmed that consistent among-individual (co)variation in high-risk exploratory behaviours does exist in this species, and multivariate analysis showed trait variation is consistent with a major axis of personality variation. Subsequent feeding trials in size-matched groups where competition was possible revealed a high repeatability of feeding duration, used here as a proxy for RHP (resource-holding potential). We found significant negative correlations between feeding duration and two `risky' behaviours, such that individuals that took fewer risks fed more. Our results are not consistent with the widely hypothesized idea of a `proactive syndrome' in which bolder, risk-taking personalities are positively associated with RHP. Rather they suggest the possibility of a trade-off, with some individuals successful at monopolizing limited, high-value resources, while others are more willing to engage in potentially risky exploration (which may increase the likelihood of encountering novel resource patches). We speculate that alternative strategies for acquiring limited resources might thereby contribute to the maintenance of personality variation observed in wild populations. (C) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"yes","both","Note that since behaviours were scaled to standard deviation units prior to analysis, the among-individual variance (VI) terms on the diagonal of ID can be viewed as analogous to repeatabilities (since repeatability ¼ VI/VP, and the observed phenotypic variance VP is 1). We also estimated the ‘adjusted repeatability’ of each behavioural trait from separate univariate models, where VP in this case is the sum of among-individual and residual variance after having conditioned on fixed effects (Nakagawa & Schielzeth, 2010). [...] Relative carapace length had a positive, although marginally nonsignificant, effect on feeding duration (estimate ¼ 0.93, SE ¼ 0.50, F1,99 ¼ 3.46, P ¼ 0.066), and a negligible effect on the proportion of variation explained by between-individual differences (adjusted repeatability ¼ 0.53, SE ¼ 0.05, c2 0,1 ¼86.2, P < 0.001). [...] Finally, we found that variation in repeatable exploratory behaviours is related to individual differences in our measure of RHP. Specifically, greater feeding duration was associated with less time spent in the centre and a smaller area covered in the OFT, indicating that individuals that consistently appeared more risk-averse and less exploratory were more able to monopolize a food resource in the group feeding trials. [...] Overall, our study shows strong support for consistent individual differences in behaviour in P. elegans,","yes","Finally, we found that variation in repeatable exploratory behaviours is related to individual differences in our measure of RHP. Specifically, greater feeding duration was associated with less time spent in the centre and a smaller area covered in the OFT, indicating that individuals that consistently appeared more risk-averse and less exploratory were more able to monopolize a food resource in the group feeding trials.","no",NA,NA,"no",NA,"AST","no",2
"APR055","Who dares does not always win: risk-averse rockpool prawns are better at controlling a limited food resource",2018,"ANIMAL BEHAVIOUR",140,NA,"187-197","Maskrey, Daniel K. and White, Stephen J. and Wilson, Alastair J. and Houslay, Thomas M.","10.1016/j.anbehav.2018.04.023","Animal `personality', the phenomenon of consistent individual differences in behaviour within populations, has been documented widely, yet its functional significance and the reasons for its persistence remain unclear. One possibility is that among-individual behavioural variation is linked to fitness-determining traits via effects on resource acquisition. In this study, we tested this idea, using rockpool prawns, Palaemon elegans, to test for a correlation between `high-risk exploration' and the ability to monopolize a limited resource. Modified open field trials (OFTs) confirmed that consistent among-individual (co)variation in high-risk exploratory behaviours does exist in this species, and multivariate analysis showed trait variation is consistent with a major axis of personality variation. Subsequent feeding trials in size-matched groups where competition was possible revealed a high repeatability of feeding duration, used here as a proxy for RHP (resource-holding potential). We found significant negative correlations between feeding duration and two `risky' behaviours, such that individuals that took fewer risks fed more. Our results are not consistent with the widely hypothesized idea of a `proactive syndrome' in which bolder, risk-taking personalities are positively associated with RHP. Rather they suggest the possibility of a trade-off, with some individuals successful at monopolizing limited, high-value resources, while others are more willing to engage in potentially risky exploration (which may increase the likelihood of encountering novel resource patches). We speculate that alternative strategies for acquiring limited resources might thereby contribute to the maintenance of personality variation observed in wild populations. (C) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"yes","among","""proportion of variation explained by among individual differences""","yes","""individuals that consistently appeared more risk-averse and less exploratory"", ""consistent individual differences in behaviour""","no",NA,NA,"yes","Here, the among-individual level interpretation is fully correct since they refer to the proportion of among-individual variation.","PN","yes",2
"APR064","The effects of the social environment and physical disturbance on personality traits",2018,"ANIMAL BEHAVIOUR",138,NA,"109-121","Rudin, Fabian S. and Tomkins, Joseph L. and Simmons, Leigh W.","10.1016/j.anbehav.2018.02.013","The environment can have a considerable impact on behaviour. The social environment is predicted to be a particularly important driver of behavioural variation and evolution through the indirect genetic effects that arise whenever individuals interact with conspecifics. We used male Australian field crickets, Teleogryllus oceanicus, to examine the effects of changes in the social environment (recorded acoustic sexual signals of other males) on the expression and consistency of boldness, activity and exploration, and their between-individual covariation. Switching from a silent environment to being exposed to male acoustic sexual signals resulted in crickets becoming less bold, active and explorative. Switching from an acoustic to a silent environment resulted in increased boldness and activity. We also looked at the effects of changes in the nonsocial environment via a physical disturbance that mimicked the presence of a potential predator (mechanical shaking). The effects of physical disturbance (and changes thereof) on behaviour were far less pronounced than the effects of changes in the social environment. Neither the repeatability of nor correlations between behaviours were affected by changes in physical disturbance. Only the average level of exploration was affected significantly when crickets were moved from an undisturbed to a disturbed environment, with crickets becoming less explorative. Although changes in the social and the nonsocial environment affected the repeatability of and correlations between some of the behaviours measured, changes in the social environment had the greater effect. We discuss the ecological and evolutionary implications of our findings and how they relate to our current understanding of social and nonsocial environmental effects on behaviour. (c) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,NA,NA,"yes","both","repeatability represents both the variability of behavioural traits across individuals and their relative consistency within individuals.","yes","The repeatability of behaviours was relatively stable across most treatment profiles","yes","within","we found that changes in dominance status eroded the repeatability of some behaviours, All the 84% confidence intervals
around the repeatabilities within each personality trait overlapped and could therefore not be considered significantly different from each other.","yes",NA,"MM","yes",2
"APR064","The effects of the social environment and physical disturbance on personality traits",2018,"ANIMAL BEHAVIOUR",138,NA,"109-121","Rudin, Fabian S. and Tomkins, Joseph L. and Simmons, Leigh W.","10.1016/j.anbehav.2018.02.013","The environment can have a considerable impact on behaviour. The social environment is predicted to be a particularly important driver of behavioural variation and evolution through the indirect genetic effects that arise whenever individuals interact with conspecifics. We used male Australian field crickets, Teleogryllus oceanicus, to examine the effects of changes in the social environment (recorded acoustic sexual signals of other males) on the expression and consistency of boldness, activity and exploration, and their between-individual covariation. Switching from a silent environment to being exposed to male acoustic sexual signals resulted in crickets becoming less bold, active and explorative. Switching from an acoustic to a silent environment resulted in increased boldness and activity. We also looked at the effects of changes in the nonsocial environment via a physical disturbance that mimicked the presence of a potential predator (mechanical shaking). The effects of physical disturbance (and changes thereof) on behaviour were far less pronounced than the effects of changes in the social environment. Neither the repeatability of nor correlations between behaviours were affected by changes in physical disturbance. Only the average level of exploration was affected significantly when crickets were moved from an undisturbed to a disturbed environment, with crickets becoming less explorative. Although changes in the social and the nonsocial environment affected the repeatability of and correlations between some of the behaviours measured, changes in the social environment had the greater effect. We discuss the ecological and evolutionary implications of our findings and how they relate to our current understanding of social and nonsocial environmental effects on behaviour. (c) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"yes","both","""consistent between-individual variation in behaviour"", ""repeatability represents both the variability of behavioural traits across individuals and their relative consistency within individuals.""","yes","""repeatability represents both the variability of behavioural traits across individuals and their relative consistency within individuals."", ""Repeatability can be high due to both between-individual differences and within-individual consistency of behaviours""","yes","both","""If the reduction in repeatabilities is driven by decreases in between- rather than increases in within-individual variation""","yes",NA,"PN","yes",2
"APR072","Personality remains: no effect of 3-week social status experience on personality in male fowl",2018,"BEHAVIORAL ECOLOGY",29,2,"312-320","Favati, Anna and Uden, Eva and Leimar, Olof and Lovlie, Hanne","10.1093/beheco/arx160","Behavioral responses of male fowl did not depend on social rank after 3 weeks in stable groups, but were consistent over time for an individual. Theory suggests that stable social states, for example, stable social hierarchies, may lead to consistent variation in behavior, that is, variation in personality. Our results suggest that variation in personality is not a consequence of variation in social status and that personality is more important than current social position in determining individual behavior in stable groups.Individuals often differ in behavior in a consistent way, that is, they show variation in personality. Understanding the processes explaining the emergence and maintenance of this variation is a current major topic in the field of animal behavioral research. Recent theoretical models predict that differences in various ``states{''} can generate individual variation in behavior. Previous studies have mainly focused on endogenous states like metabolic rate or energy reserves, but theory also suggests that states based on social interactions could play important roles in shaping personality. We have earlier demonstrated short-term status-dependent variation in behavior in the domestic fowl (Gallus gallus domesticus), but whether such behavioral variation remains also after a longer period of time, is unknown. Therefore, we examine the influence of social status on variation in behavior, using experimental manipulation of social status in pairs of male domestic fowl. We scored males in 3 personality assays (novel arena test, novel object test, and aggression test) before and after 3 weeks in pairs as either dominant or subordinate. We observed individual consistency of behavior despite alteration of social status. We further found no support for social status acting as a state that generates variation in personality over the used time interval: social status had no significant effect on the change in behavioral responses between repeated personality tests. Our results suggest that personality is more important than current social situation for describing individual behavior in stable groups.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Repeatability measured as a regression between individual behaviour measured at two different times, instead of using variance partitioning. Repeatability nonetheless interpreted as individual consistency: Consistency of behavior: Consistency is represented by a significant effect of the first time a behavior was measured on the second measure of the same behavior in linear models (Table 2). Male domestic fowl showed significant among-individual consistency in aggression, activity, boldness, and crowing (Figure 2, Table 2). Vigilance and exploration showed positive but nonsignificant correlations across time and treatment (Figure 2, Table 2).","AST",NA,2
"APR072","Personality remains: no effect of 3-week social status experience on personality in male fowl",2018,"BEHAVIORAL ECOLOGY",29,2,"312-320","Favati, Anna and Uden, Eva and Leimar, Olof and Lovlie, Hanne","10.1093/beheco/arx160","Behavioral responses of male fowl did not depend on social rank after 3 weeks in stable groups, but were consistent over time for an individual. Theory suggests that stable social states, for example, stable social hierarchies, may lead to consistent variation in behavior, that is, variation in personality. Our results suggest that variation in personality is not a consequence of variation in social status and that personality is more important than current social position in determining individual behavior in stable groups.Individuals often differ in behavior in a consistent way, that is, they show variation in personality. Understanding the processes explaining the emergence and maintenance of this variation is a current major topic in the field of animal behavioral research. Recent theoretical models predict that differences in various ``states{''} can generate individual variation in behavior. Previous studies have mainly focused on endogenous states like metabolic rate or energy reserves, but theory also suggests that states based on social interactions could play important roles in shaping personality. We have earlier demonstrated short-term status-dependent variation in behavior in the domestic fowl (Gallus gallus domesticus), but whether such behavioral variation remains also after a longer period of time, is unknown. Therefore, we examine the influence of social status on variation in behavior, using experimental manipulation of social status in pairs of male domestic fowl. We scored males in 3 personality assays (novel arena test, novel object test, and aggression test) before and after 3 weeks in pairs as either dominant or subordinate. We observed individual consistency of behavior despite alteration of social status. We further found no support for social status acting as a state that generates variation in personality over the used time interval: social status had no significant effect on the change in behavioral responses between repeated personality tests. Our results suggest that personality is more important than current social situation for describing individual behavior in stable groups.","yes",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"The species has earlier shown significant repeatability of individual behavioral responses in these assays (Favati, Leimar, Radesäter et al. 2014; Favati et al.
2016; Favati et al. 2017; Zidar, Sorato, et al. 2017), and we therefore only performed each assay one time before and one time
after the social treatment period. ","MM",NA,2
