studyID,year,journal,url,t.and.a_decision,fulltext_decision,fulltext_exclusion_reason,repeatability,repeatability_interpretation,repeatability_consist_predict,repetability_comparison,repetability_comparison_interpretation,unstandardize_variance.2,consistent_interpretation_reviewed,observer
APR006,2019,BEHAVIORAL ECOLOGY,10.1093/beheco/ary178,yes,yes,NA,yes,unclear,unclear,unclear,NA,yes,,
APR039,2018,ETHOLOGY,10.1111/eth.12770,yes,yes,NA,yes,within,yes,yes,within,yes,,
APR055,2018,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2018.04.023,yes,yes,NA,yes,both,yes,no,NA,yes,yes_not_changed,AST
APR064,2018,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2018.02.013,yes,yes,NA,yes,both,yes,yes,both,yes,yes_not_changed,"PN,MM"
APR079,2018,CURRENT ZOOLOGY,10.1093/cz/zox008,yes,yes,NA,yes,both,yes,no,NA,no,yes_not_changed,AST
APR086,2018,BEHAVIOUR,10.1163/1568539X-00003500,yes,yes,NA,yes,among,no,no,NA,no,yes_and_changed,"PN,AST"
APR089,2018,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-017-2428-8,yes,yes,NA,yes,within,yes,no,NA,no,,
APR097,2017,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2017.1893,yes,yes,NA,yes,both,yes,no,NA,yes,yes_not_changed,"MM,AST"
APR103,2017,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2017.08.027,yes,yes,NA,yes,within,no,no,NA,yes,,
APR106,2017,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2017.0943,yes,yes,NA,yes,both,yes,yes,both,yes,yes_not_changed,MM
APR108,2017,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2017.08.010,yes,yes,NA,yes,within,yes,no,NA,no,,
APR133,2017,BEHAVIORAL ECOLOGY,10.1093/beheco/arx070,yes,yes,NA,yes,among,no,no,NA,no,,
APR155,2017,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2016.2872,yes,yes,NA,yes,within,yes,no,NA,no,,
APR163,2017,BEHAVIORAL ECOLOGY,10.1093/beheco/arw174,yes,yes,NA,yes,both,yes,no,NA,no,yes_not_changed,"PN,MM"
APR186,2017,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2016.10.006,yes,yes,NA,yes,both,no,no,NA,no,yes_not_changed,"MM,AST"
APR195,2016,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2016.10.001,yes,yes,NA,yes,none,NA,no,NA,no,,
APR203,2016,BEHAVIORAL ECOLOGY,10.1093/beheco/arw094,yes,yes,NA,yes,among,no,no,NA,yes,yes_and_changed,"PN,AST"
APR223,2016,BEHAVIORAL ECOLOGY,10.1093/beheco/arw037,yes,yes,NA,yes,both,no,no,NA,yes,yes_not_changed,"MM,AST"
APR270,2016,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2015.10.032,yes,yes,NA,yes,both,yes,yes,within,no,yes_not_changed,AST
