"key","title","authors","journal","issn","volume","issue","pages","year","publisher","url","abstract"
"X.ISI.000224073800001","Behavioral syndromes: An integrative overview","Sih, A and Bell, AM and Johnson, JC and Ziemba, RE","QUARTERLY REVIEW OF BIOLOGY","0033-5770","79","3","241-277","2004","UNIV CHICAGO PRESS","10.1086/422893","A behavioral syndrome is a suite of correlated behaviors expressed either within a given behavioral context (e.g., correlations between foraging behaviors in different habitats) or across different contexts (e.g., correlations among feeding, antipredator mating, aggressive, and dispersal behaviors). For example, some individuals (and genotypes) might be generally more aggressive, more active or bold, while others are generally less aggressive, active or bold. This phenomenon has been studied in detail in humans, some primates, laboratory rodents, and some domesticated animals, but has rarely been studied in other organisms, and rarely examined from an evolutionary or ecological perspective. Here, we present an integrative overview on the potential importance of behavioral syndromes in evolution and ecology. A central idea is that behavioral correlations generate tradeoffs; for example, an aggressive genotype might do well in situations where high aggression is favored, but might be inappropriately aggressive in situations where low aggression is favored (and vice versa for a low aggression genotype). Behavioral syndromes can thereby result in maladaptive behavior in some contexts, and potentially maintain individual variation in behavior in a variable environment. We suggest terminology and methods for studying behavioral syndromes, review examples, discuss evolutionary and proximate approaches for understanding behavioral syndromes, note insights from human personality research, and outline some potentially important ecological implications. Overall, we suggest that behavioral syndromes could play a useful role as an integrative bridge between genetics, experience, neuroendocrine mechanisms, evolution, and ecology."
"X.ISI.000282880900013","Repeatability for Gaussian and non-Gaussian data: a practical guide for biologists","Nakagawa, Shinichi and Schielzeth, Holger","BIOLOGICAL REVIEWS","1464-7931","85","4","935-956","2010","WILEY","10.1111/j.1469-185X.2010.00141.x","Repeatability (more precisely the common measure of repeatability, the intra-class correlation coefficient, ICC) is an important index for quantifying the accuracy of measurements and the constancy of phenotypes. It is the proportion of phenotypic variation that can be attributed to between-subject (or between-group) variation. As a consequence, the non-repeatable fraction of phenotypic variation is the sum of measurement error and phenotypic flexibility. There are several ways to estimate repeatability for Gaussian data, but there are no formal agreements on how repeatability should be calculated for non-Gaussian data (e.g. binary, proportion and count data). In addition to point estimates, appropriate uncertainty estimates (standard errors and confidence intervals) and statistical significance for repeatability estimates are required regardless of the types of data. We review the methods for calculating repeatability and the associated statistics for Gaussian and non-Gaussian data. For Gaussian data, we present three common approaches for estimating repeatability: correlation-based, analysis of variance (ANOVA)-based and linear mixed-effects model (LMM)-based methods, while for non-Gaussian data, we focus on generalised linear mixed-effects models (GLMM) that allow the estimation of repeatability on the original and on the underlying latent scale. We also address a number of methods for calculating standard errors, confidence intervals and statistical significance; the most accurate and recommended methods are parametric bootstrapping, randomisation tests and Bayesian approaches. We advocate the use of LMM- and GLMM-based approaches mainly because of the ease with which confounding variables can be controlled for. Furthermore, we compare two types of repeatability (ordinary repeatability and extrapolated repeatability) in relation to narrow-sense heritability. This review serves as a collection of guidelines and recommendations for biologists to calculate repeatability and heritability from both Gaussian and non-Gaussian data."
"X.ISI.000166843700004","From mice to men: What can we learn about personality from animal research?","Gosling, SD","PSYCHOLOGICAL BULLETIN","0033-2909","127","1","45-86","2001","AMER PSYCHOLOGICAL ASSOC","10.1037//0033-2909.127.1.45","The author explores the viability of a comparative approach to personality research. A review of the diverse animal-personality literature suggests that (a) most research uses trait constructs, focuses on variation within (vs. across) species, and uses either behavioral codings or trait ratings; (b) ratings are generally reliable and show some validity (7 parameters that could influence reliability and 4 challenges to validation are discussed); and (c) some dimensions emerge across species, but summaries are hindered by a lack of standard descriptors. Arguments for and against cross-species comparisons are discussed, and research guidelines are suggested. Finally, a research agenda guided by evolutionary and ecological principles is proposed. It is concluded that animal studies provide unique opportunities to examine biological, genetic, and environmental bases of personality and to study personality change, personality-health links, and personality perception."
"X.ISI.000246842000046","Life-history trade-offs favour the evolution of animal personalities","Wolf, Max and van Doorn, G. Sander and Leimar, Olof and Weissing, Franz J.","NATURE","0028-0836","447","7144","581-584","2007","NATURE PUBLISHING GROUP","10.1038/nature05835","In recent years evidence has been accumulating that personalities are not only found in humans(1) but also in a wide range of other animal species(2-8). Individuals differ consistently in their behavioural tendencies and the behaviour in one context is correlated with the behaviour in multiple other contexts. From an adaptive perspective, the evolution of animal personalities is still a mystery, because a more flexible structure of behaviour should provide a selective advantage(9-11). Accordingly, many researchers view personalities as resulting from constraints imposed by the architecture of behaviour(7) (but see ref. 12). In contrast, we show here that animal personalities can be given an adaptive explanation. Our argument is based on the insight that the trade-off between current and future reproduction(13) often results in polymorphic populations(14) in which some individuals put more emphasis on future fitness returns than others. Life-history theory predicts that such differences in fitness expectations should result in systematic differences in risk-taking behaviour(15). Individuals with high future expectations (who have much to lose) should be more risk-averse than individuals with low expectations. This applies to all kinds of risky situations, so individuals should consistently differ in their behaviour. By means of an evolutionary model we demonstrate that this basic principle results in the evolution of animal personalities. It simultaneously explains the coexistence of behavioural types, the consistency of behaviour through time and the structure of behavioural correlations across contexts. Moreover, it explains the common finding that explorative behaviour and risk-related traits like boldness and aggressiveness are common characteristics of animal personalities(2-8)."
"X.ISI.000084760900013","Nature over nurture: Temperament, personality, and life span development","McCrae, RR and Costa, PT and Ostendorf, F and Angleitner, A and Hrebickova, M and Avia, MD and Sanz, J and Sanchez-Bernardos, ML and Kusdil, ME and Woodfield, R and Saunders, PR and Smith, PB","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","0022-3514","78","1","173-186","2000","AMER PSYCHOLOGICAL ASSOC","10.1037/0022-3514.78.1.173","Temperaments are often regarded as biologically based psychological tendencies with intrinsic paths of development. It is argued that this definition applies to the personality traits of the five-factor model. Evidence for the endogenous nature of traits is summarized from studies of behavior genetics, parent-child relations, personality structure, animal personality, and the longitudinal stability of individual differences. New evidence for intrinsic maturation is offered from analyses of NEO Five-Factor Inventory scores for men and women age 14 and over in German, British, Spanish, Czech, and Turkish samples (N = 5,085). These data support strong conceptual Links to child temperament despite modest empirical associations. The intrinsic maturation of personality is complemented by the culturally conditioned development of characteristic adaptations that express personality; interventions in human development are best addressed to these."
"X.ISI.000274767100006","Behavioural reaction norms: animal personality meets individual plasticity","Dingemanse, Niels J. and Kazem, Anahita J. N. and Reale, Denis and Wright, Jonathan","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347","25","2","81-89","2010","ELSEVIER SCIENCE LONDON","10.1016/j.tree.2009.07.013","Recent studies in the field of behavioural ecology have revealed intriguing variation in behaviour within single populations. Increasing evidence suggests that individual animals differ in their average level of behaviour displayed across a range of contexts (animal `personality'), and in their responsiveness to environmental variation (plasticity), and that these phenomena can be considered complementary aspects of the individual phenotype. How should this complex variation be studied? Here, we outline how central ideas in behavioural ecology and quantitative genetics can be combined within a single framework based on the concept of `behavioural reaction norms'. This integrative approach facilitates analysis of phenomena usually studied separately in terms of personality and plasticity, thereby enhancing understanding of their adaptive nature."
"X.ISI.000257617600006","Are animal personality traits linked to life-history productivity?","Biro, Peter A. and Stamps, Judy A.","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347","23","7","361-368","2008","ELSEVIER SCIENCE LONDON","10.1016/j.tree.2008.04.003","Animal personality traits such as boldness, activity and aggressiveness have been described for many animal species. However, why some individuals are consistently bolder or more active than others, for example, is currently obscure. Given that life-history tradeoffs are common and known to promote inter-individual differences in behavior, we suggest that consistent individual differences in animal personality traits can be favored when those traits contribute to consistent individual differences in productivity (growth and/or fecundity). A survey of empirical studies indicates that boldness, activity and/or aggressiveness are positively related to food intake rates, productivity and other life-history traits in a wide range of taxa. Our conceptual framework sets the stage for a closer look at relationships between personality traits and life-history traits in animals."
"X.ISI.000284208600012","Personality and the emergence of the pace-of-life syndrome concept at the population level","Reale, Denis and Garant, Dany and Humphries, Murray M. and Bergeron, Patrick and Careau, Vincent and Montiglio, Pierre-Olivier","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","365","1560","4051-4063","2010","ROYAL SOC","10.1098/rstb.2010.0208","The pace-of-life syndrome (POLS) hypothesis specifies that closely related species or populations experiencing different ecological conditions should differ in a suite of metabolic, hormonal and immunity traits that have coevolved with the life-history particularities related to these conditions. Surprisingly, two important dimensions of the POLS concept have been neglected: (i) despite increasing evidence for numerous connections between behavioural, physiological and life-history traits, behaviours have rarely been considered in the POLS yet; (ii) the POLS could easily be applied to the study of covariation among traits between individuals within a population. In this paper, we propose that consistent behavioural differences among individuals, or personality, covary with life history and physiological differences at the within-population, interpopulation and interspecific levels. We discuss how the POLS provides a heuristic framework in which personality studies can be integrated to address how variation in personality traits is maintained within populations."
"X.ISI.000307622300008","Animal personalities: consequences for ecology and evolution","Wolf, Max and Weissing, Franz J.","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347","27","8","452-461","2012","ELSEVIER SCIENCE LONDON","10.1016/j.tree.2012.05.001","Personality differences are a widespread phenomenon throughout the animal kingdom. Past research has focused on the characterization of such differences and a quest for their proximate and ultimate causation. However, the consequences of these differences for ecology and evolution received much less attention. Here, we strive to fill this gap by providing a comprehensive inventory of the potential implications of personality differences, ranging from population growth and persistence to species interactions and community dynamics, and covering issues such as social evolution, the speed of evolution, evolvability, and speciation. The emerging picture strongly suggests that personality differences matter for ecological and evolutionary processes (and their interaction) and, thus, should be considered a key dimension of ecologically and evolutionarily relevant intraspecific variation."
"X.ISI.000248598300009","Exposure to predation generates personality in threespined sticklebacks (Gasterosteus aculeatus)","Bell, Alison M. and Sih, Andrew","ECOLOGY LETTERS","1461-023X","10","9","828-834","2007","WILEY","10.1111/j.1461-0248.2007.01081.x","A perplexing new question that has emerged from the recent surge of interest in behavioural syndromes or animal personalities is - why do individual animals behave consistently when behavioural flexibility is advantageous? If individuals have a tendency to be generally aggressive, then a relatively aggressive individual might be overly aggressive towards offspring, mates or even predators. Despite these costs, studies in several taxa have shown that individuals that are more aggressive are also relatively bold. However, the behavioural correlation is not universal; even within a species, population comparisons have shown that boldness and aggressiveness are correlated in populations of sticklebacks that are under strong predation pressure, but not in low predation populations. Here, we provide the first demonstration that an environmental factor can induce a correlation between boldness and aggressiveness. Boldness under predation risk and aggressiveness towards a conspecific were measured before and after sticklebacks were exposed to predation by trout, which predated half the sticklebacks. Exposure to predation generated the boldness-aggressiveness behavioural correlation. The behavioural correlation was produced by both selection by predators and behavioural plasticity. These results support the hypothesis that certain correlations between behaviours might be adaptive in some environments."
"X.ISI.000276602200006","The development of animal personality: relevance, concepts and perspectives","Stamps, Judy and Groothuis, Ton G. G.","BIOLOGICAL REVIEWS","1464-7931","85","2","301-325","2010","WILEY-BLACKWELL","10.1111/j.1469-185X.2009.00103.x","Recent studies of animal personality have focused on its proximate causation and its ecological and evolutionary significance, but have mostly ignored questions about its development, although an understanding of the latter is highly relevant to these other questions. One possible reason for this neglect is confusion about many of the concepts and terms that are necessary to study the development of animal personality. Here, we provide a framework for studying personality development that focuses on the properties of animal personality, and considers how and why these properties may change over time. We specifically focus on three dimensions of personality: (1) contextual generality at a given age or time, (2) temporal consistency in behavioural traits and in relationships between traits, and (3) the effects of genes and experience on the development of personality at a given age or life stage. We advocate using a new approach, contextual reaction norms, to study the contextual generality of personality traits at the level of groups, individuals and genotypes, show how concepts and terms borrowed from the literature on personality development in humans can be used to study temporal changes in personality at the level of groups and individuals, and demonstrate how classical developmental reaction norms can provide insights into the ways that genes and experiential factors interact across ontogeny to affect the expression of personality traits. In addition, we discuss how correlations between the effects of genes and experience on personality development can arise as a function of individuals' control over their own environment, via niche-picking or niche-construction. Using this framework, we discuss several widely held assumptions about animal personality development that still await validation, identify neglected methodological issues, and describe a number of promising new avenues for future research."
"X.ISI.000299946200013","Ecological implications of behavioural syndromes","Sih, Andrew and Cote, Julien and Evans, Mara and Fogarty, Sean and Pruitt, Jonathan","ECOLOGY LETTERS","1461-023X","15","3","278-289","2012","WILEY-BLACKWELL","10.1111/j.1461-0248.2011.01731.x","Interspecific trait variation has long served as a conceptual foundation for our understanding of ecological patterns and dynamics. In particular, ecologists recognise the important role that animal behaviour plays in shaping ecological processes. An emerging area of interest in animal behaviour, the study of behavioural syndromes (animal personalities) considers how limited behavioural plasticity, as well as behavioural correlations affects an individuals fitness in diverse ecological contexts. In this article we explore how insights from the concept and study of behavioural syndromes provide fresh understanding of major issues in population ecology. We identify several general mechanisms for how population ecology phenomena can be influenced by a species or populations average behavioural type, by within-species variation in behavioural type, or by behavioural correlations across time or across ecological contexts. We note, in particular, the importance of behavioural type-dependent dispersal in spatial ecology. We then review recent literature and provide new syntheses for how these general mechanisms produce novel insights on five major issues in population ecology: (1) limits to species distribution and abundance; (2) species interactions; (3) population dynamics; (4) relative responses to human-induced rapid environmental change; and (5) ecological invasions."
"X.ISI.000255465100001","Energy metabolism and animal personality","Careau, V. and Thomas, D. and Humphries, M. M. and Reale, D.","OIKOS","0030-1299","117","5","641-653","2008","WILEY-BLACKWELL","10.1111/j.0030-1299.2008.16513.x","In this paper we show how animal personality could explain some of the large inter-individual variation in resting metabolic rate (MR) and explore methodological and functional linkages between personality and energetics. Personality will introduce variability in resting MR measures because individuals consistently differ in their stress response, exploration or activity levels, all of which influence MR measurements made with respirometry and the doubly-labelled water technique. Physiologists try to exclude these behavioural influences from resting MR measurements, but animal personality research indicates that these attempts are unlikely to be successful. For example, because reactive animals ``freeze{''} when submitted to a stress, their MR could be classified as ``resting{''} because of immobility when in fact they are highly stressed with an elevated MR. More importantly, recent research demonstrating that behavioural responses to novel and highly artificial stimuli are correlated with both behaviour and fitness under more natural circumstances calls into question the wisdom of excluding these behavioural influences on MR measurements. The reason that intra-specific variation in resting MR are so weakly correlated with daily energy expenditure (DEE) and fitness, may be that the latter two measures fully incorporate personality while the former partially excludes its influence. Because activity, exploration, boldness and aggressiveness are energetically costly, personality and metabolism should be correlated and physiological constraints may underlie behavioural syndromes. We show how physiological ecologists can better examine behavioural linkages between personality and metabolism, as required to better understand the physiological correlates of personality and the evolutionary consequences of metabolic variability."
"X.ISI.000313752300006","Quantifying individual variation in behaviour: mixed-effect modelling approaches","Dingemanse, Niels J. and Dochtermann, Ned A.","JOURNAL OF ANIMAL ECOLOGY","0021-8790","82","1","39-54","2013","WILEY-BLACKWELL","10.1111/1365-2656.12013","Growing interest in proximate and ultimate causes and consequences of between- and within-individual variation in labile components of the phenotype such as behaviour or physiology characterizes current research in evolutionary ecology. The study of individual variation requires tools for quantification and decomposition of phenotypic variation into between- and within-individual components. This is essential as variance components differ in their ecological and evolutionary implications. We provide an overview of how mixed-effect models can be used to partition variation in, and correlations among, phenotypic attributes into between- and within-individual variance components. Optimal sampling schemes to accurately estimate (with sufficient power) a wide range of repeatabilities and key (co)variance components, such as between- and within-individual correlations, are detailed. Mixed-effect models enable the usage of unambiguous terminology for patterns of biological variation that currently lack a formal statistical definition (e.g. animal personality or behavioural syndromes), and facilitate cross-fertilisation between disciplines such as behavioural ecology, ecological physiology and quantitative genetics."
