key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
X.ISI.000466289700004,"Plasticity, state-dependency, and individual consistency in Canada goose nest defense behavior","Clermont, Jeanne and Reale, Denis and Lindsay, Mari-Eve and Giroux, Jean-Francois",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,73,5,NA,2019,SPRINGER,10.1007/s00265-019-2681-0,"Animals are thought to adjust the intensity of their parental defense to fitness benefits associated with their current reproduction. They should be more defensive when they breed early in the season, when they produce more young, or as their young get older. Beyond these plastic changes, associations among traits could be explained by consistent among-individual differences. Separating the mechanisms at the origin of behavioral phenotypic variation is essential to understand the determinants and evolution of parental care. During four breeding seasons, we investigated whether variation in Canada goose (Branta canadensis) nest defense resulted from individual short-term plastic adjustments to reproductive stage within breeding seasons, plastic adjustments to brood value across breeding seasons, or from long-term among-individual differences. We thus estimated the among- and within-individual relationships between nest defense, clutch size, and laying date. Female and male nest defense behaviors were highly repeatable in time (R=0.72 and 0.67 on the short term). At the among-individual level, we found no significant association between female nest defense and life history traits, but the more defensive males were mated with the more fecund females. Female and male nest defense was not adjusted to annual variation in laying date nor in clutch size. However, females adjusted their nest defense within each breeding season and became more defensive when approaching egg hatching. Thus, Canada goose nest defense behavior is partly explained by plastic adjustments, but also by consistent among-individual differences which indicate the evolutionary potential of nest defense behavior.Significance statementAn association between traits at the phenotypic level can be partitioned into association at the among- and within-individual levels. This allows to better understand covariation of traits resulting from both among-individual differences and phenotypic plasticity. We observed 141 Canada goose pairs to identify what affected the intensity of their nest defense behavior. We found that geese were very consistent in their nest defense behavior and that female fecundity was related to male personality. Females also became more defensive as their young got older. Analyzing different sources of variation in parental behaviors enables a better understanding of their evolution. Our study also demonstrates the importance of studying nest defense in both sexes even in species where only females incubate eggs, as both sexes can invest in nest defense."
X.ISI.000466289700003,Behavioural tendencies associated with microhabitat use in a clonal gecko species living in the wild,"Sakai, Osamu",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,73,5,NA,2019,SPRINGER,10.1007/s00265-019-2679-7,"Individual differences in behavioural traits influence habitat choice, and in turn, differences in used habitats shape different behavioural tendencies through plasticity. Here, I investigated the relationship between personality and microhabitat use in a free-living population of the clonal gecko Lepidodactylus lugubris. The study site is a small beachfront forest facing two environments with contrasting levels of human disturbance. I conducted a mark-recapture survey to assess the geckos' spacing pattern and evaluated their boldness and exploration scores in the laboratory. The geckos exhibited a small range of movement and a high consistency in their perch height. Boldness was related to two microhabitat features, but exploration was not. Relatively shy geckos were found in trees near the roadside and on low branches, whereas relatively bold geckos were found on both the beachside and the roadside and on low to high branches. These patterns suggest that geckos in high-disturbance microhabitats may have frequently experienced artificial stimuli and become shy. However, the present results cannot exclude the possibility that individual differences are caused by other factors and that different personality types prefer and settle in different microhabitats. Although the actual mechanisms are unclear, my findings highlight that behaviour-related habitat use emerges even in clonal animals.Significance statementIndividuals within conspecifics show different spacing patterns and different behavioural tendencies. If clonal animals live in a spatially diverse environment, it is predicted that different microhabitats may gradually shape different personality types through developmental plasticity. Here, I investigated the association between the personality of clonal geckos and their microhabitat use in different levels of human disturbance. In contrast to the prediction, both juveniles and adults showed a similar pattern of boldness-related microhabitats; relatively shy individuals were found in putatively high-disturbance sites. This result suggests that the association between boldness and microhabitats is not gradually formed through a long-time scale but is likely generated within their early ontogenetic stage."
X.ISI.000466181900001,Nest-site defence aggression during courtship does not predict nestling provisioning in male collared flycatchers,"Szasz, Eszter and Marko, Gabor and Hegyi, Gergely and Torok, Janos and Zsolt Garamszegi, Laszlo and Rosivall, Balazs",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,73,5,NA,2019,SPRINGER,10.1007/s00265-019-2672-1,"Individuals of many animal species show consistent differences in ecologically relevant behaviours, and these individual-specific behaviours can correlate with each other. In passerines, aggression during nest-site defence is one of those behaviours that have been steadily found to be repeatable within individuals. Furthermore, in several cases, aggression was related to some estimates of reproductive investment. Here, we studied the possibility that behaviour of males toward a male rival predicts the amount of their future parental care. This could be beneficial to the females, because during mate choice, they could use male aggressive behaviour as a cue for parental quality. We performed the study by video recording the nestling feeding activity of male collared flycatchers (Ficedula albicollis) that were assayed for aggression during the courtship period. The level of aggression was not related to feeding rate in males. Feeding rate of males differed between the study years, but it did not correlate with the feeding rate of their mates, neither was it related to the morphological traits of the parents. We may conclude that nest-site defence aggression of males does not predict their parental commitment. This may be surprising given that higher testosterone levels that may be expected in aggressive males often suppress parental care. However, among-individual variance in male testosterone profiles found to be decrease from the courtship to the parenting period in flycatchers, and this may explain why differences in territorial aggression did not manifest in differences in nestling provisioning. The correlation between behaviours that are expressed in distinct periods of the annual cycle of songbirds needs further investigation.Significance statementMale songbirds, when attracting mates, are often confronted with each other over nest-sites, and these male-male confrontations may be witnessed by females. If performance during territory defence predicts the quality of parental care that a male will provide for its nestlings, females could use defence behaviour as a cue for mate choice. To explore this possibility, we investigated the relationship between territorial aggression and nestling feeding activity of male collared flycatchers. We performed simulated territorial intrusions to measure the aggression of males and recorded their nestling feeding rate about a month later. We found that territorial aggression did not correlate with nestling feeding rate. This suggests that nest-site defence behaviour in the beginning of the breeding season does not carry information for females about what to expect from potential mates in terms of parental care."
X.ISI.000463590000015,Evidence of high individual variability in seed management by scatter-hoarding rodents: does `personality' matter?,"Feldman, Mariano and Ferrandiz-Rovira, Mariona and Espelta, Josep Maria and Munoz, Alberto",ANIMAL BEHAVIOUR,0003-3472,150,NA,167-174,2019,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,10.1016/j.anbehav.2019.02.009,"The predation and dispersal of seeds by scatter-hoarding animals is one of the most studied processes in the context of animal-plant interactions. Seed management by these animals has been traditionally approached at the population level: the patterns documented in the field are assumed to be similar for all individuals of the population and the variability within the population is considered to be random noise. However, little is known about to what extent this variability responds to different and consistent behaviours between individuals. The aim of this study was to analyse the individual variation and consistency in behaviour of scatter-hoarding rodents within a population. As our model we used the wood mouse, Apodemus sylvaticus, a key disperser of holm oak acorns, Quercus ilex, which, in turn, suffers high predation pressure by the common genet, Genetta genetta. In two sets of laboratory experiments, we compared the variance and consistency in behaviours and acorn management due to individual differences with that due to manipulation, using genet scents, of the perceived predation risk. Genet scents reduced the activity (i.e. time out of the refuge) in all wood mice, but the differences and consistency in activity between individuals accounted for most of the variance. Also, mice showed different and consistent stress or relaxed behaviours. Most of the variance in seed management variables, such as dispersal distance and seed size selection, was explained by consistent differences between individuals across scent treatments. The increase in stress behaviours and decrease in relaxed behaviours were positively related to dispersal ability (i.e. longer distances and larger acorns). Our study highlights the importance of considering the individual component of behaviour in scatter-hoarding rodents. This fine-scale level, largely overlooked in the ecological framework, will help to increase our understanding of seed management by scatter-hoarding animals. (C) 2019 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
X.ISI.000463590000021,Behavioural syndromes as a link between ecology and mate choice: a field study in a reef fish population,"Picq, Sophie and Scotti, Marco and Puebla, Oscar",ANIMAL BEHAVIOUR,0003-3472,150,NA,219-237,2019,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,10.1016/j.anbehav.2019.02.016,"The link between ecology and reproductive isolation constitutes the cornerstone of the ecological hypothesis of speciation. Such a link can arise when traits under ecologically based selection are also used as cues for mating ('magic traits') or as a by-product of habitat choice when mating takes place within habitats. Here, we propose that behavioural syndromes may also constitute such a link. We illustrate this mechanism in the butter hamlet, Hypoplectrus unicolor, a reef fish from the wider Caribbean, with aggressive mimicry as the focal ecological trait. Aggressive mimicry is of particular interest in hamlets since it has been proposed to play a key role in the radiation of Hypoplectrus. Individuals from a natural population in Bocas del Toro, Panama, were tagged and their diurnal and spawning behaviours observed over 2 years. The results indicate that aggressive mimicry behaviour differed consistently between individuals and formed two discrete behavioural types that also differed with respect to territoriality. Differences in territoriality between the two behavioural types translated into different use of space in spawning contexts, which generated a tendency for assortative mating by behavioural type. This case study illustrates how behavioural syndromes may form a link between ecologically relevant behavioural traits and mate choice, suggesting that they might play an underappreciated role in the early stages of speciation. (C) 2019 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
X.ISI.000464932900014,Behavioral syndromes vary among geographically distinct populations in a reptile,"Michelangeli, Marcus and Chapple, David G. and Goulet, Celine T. and Bertram, Michael G. and Wong, Bob B. M.",BEHAVIORAL ECOLOGY,1045-2249,30,2,393-401,2019,OXFORD UNIV PRESS INC,10.1093/beheco/ary178,"A key goal in the study of animal personalities is to determine their adaptive potential and importance for behavioral evolution. Behavioral syndromes are evolutionarily intriguing because they suggest that an adaptive change in one behavior requires a concomitant shift in another. Within species, behavioral syndromes might be evolutionarily constrained by intrinsic mechanisms that restrict behaviors from evolving independently. Alternatively, behavioral correlations might easily be decoupled over short evolutionary time scales due to variation in selective pressures between environments. In this regard, comparative studies that explore differences in diverse aspects of personality between geographically distinct populations can provide valuable insights into the evolutionary processes acting on different behavioral tendencies. Accordingly, we investigated how behavioral types and behavioral syndromes differed across four geographically distinct populations of the delicate skink, Lampropholis delicata. We found strong evidence of mean trait-level variation in activity, exploration, and boldness across populations, suggesting adaptation to local environmental conditions. Similarly, we found that within-population correlations involving boldness varied substantially between populations. However, we did find a consistent within- and among-population correlation between activity and exploration, suggesting that this behavioral syndrome is relatively stable and could explain behavioral divergence in activity and exploration between populations. We suggest that there may be thermal physiological mechanisms that could be limiting the adaptive potential of an activity-exploration correlation in the delicate skink. Broadly, we argue that some behavioral correlations may be more adaptive than others, and that this should be more regularly considered within the animal personality framework."
X.ISI.000464932900021,Juvenile social experience generates differences in behavioral variation but not averages,"DiRienzo, Nicholas and Johnson, J. Chadwick and Dornhaus, Anna",BEHAVIORAL ECOLOGY,1045-2249,30,2,455-464,2019,OXFORD UNIV PRESS INC,10.1093/beheco/ary185,"Developmental plasticity is known to influence the mean behavioral phenotype of a population. Yet, studies on how developmental plasticity shapes patterns of variation within populations are comparatively rare and often focus on a subset of developmental cues (e.g., nutrition). One potentially important but understudied developmental experience is social experience, as it is explicitly hypothesized to increase variation among individuals as a way to promote social niches. To test this, we exposed juvenile black widow spiders (Latrodectus hesperus) to the silk of conspecifics by transplanting them onto conspecific webs for 48 h once a week until adulthood. We also utilized an untouched control group as well as a disturbed group. This latter group was removed from their web at the same time points as the social treatment, but was immediately placed back on their own web. After repeatedly measuring adult behavior and web structure, we found that social rearing drove higher or significant levels of repeatability relative to the other treatments. Repeatability in the social treatment also decreased in some traits, paralleling the decreases observed in the disturbed treatments. Thus, repeated juvenile disturbance may decrease among-individual differences in adult spiders. Yet, social rearing appeared to override the effect of disturbance in some traits, suggesting a prioritization effect. The resulting individual differences were maintained over at least one-third of the adult lifespan and thus appear to represent stable, canalized developmental effects and not temporal state differences. These results provide proximate insight into how a broader range of developmental experiences shape trait variation."
X.ISI.000462804600001,From the individual to the population - and back again? Emphasising the role of the individual in animal welfare science,"Richter, Sophie Helene and Hintze, Sara",APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,212,NA,01-Aug,2019,ELSEVIER SCIENCE BV,10.1016/j.applanim.2018.12.012,"During the past decades, the study of ``animal personalities{''} has gained increasing importance in the field of behavioural and evolutionary ecology, thereby contributing to a focus shift from the population to the individual in various research disciplines. Against this background, the overall idea of the present review is to transfer the personality concept from behavioural ecology to animal welfare science, to discuss the role of the individual in different research approaches and to pave new grounds for a more individual-tailored assessment and treatment of welfare-related problems. Moreover, we will explicitly refer to welfare issues ``beyond the average{''}, thereby addressing problems that are not entirely covered by simply studying personality traits in animal welfare research. By combining two different fields, we hope to stimulate more theoretical and empirical work on this topic to find new ways of improving the welfare of animals in human hands even at the individual level."
X.ISI.000459395500001,Early ontogenic emergence of personality and its long-term persistence in a social spider,"Parthasarathy, Bharat and Joshi, Chinmay Hemant and Kalyadan, Sreethin Sreedharan and Somanathan, Hema",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,73,3,NA,2019,SPRINGER,10.1007/s00265-019-2645-4,"Recent studies increasingly show that personality types in animals can vary with time. Personality types including boldness and aggression have been recently reported as important determinants of collective task performance, task specialisation and task proficiency in social spiders. These studies were performed in subadult and adult spiders and over the short term (3-15days). Therefore, the ontogeny of these personality types and its persistence over timescales relevant to the lifespan of any social spider species remains unknown. In the social spider Stegodyphus sarasinorum, we investigated 1) if early instar juveniles exhibited consistent and repeatable personality types, 2) if personality types persisted over the long term in subadults and 3) if personality types are influenced by subadult body condition. Juveniles (3rd and 4th instars) showed consistent inter-individual differences and repeatability in boldness and aggression (across 21days). Subadults showed consistency in boldness and aggression over a duration of 51days, which covers a significant part of the subadult stage. However, repeatability of these traits declined over the long term. Moreover, boldness and aggression were not influenced by body condition (nutritional state) of subadults. Thus, we hypothesise that the early ontogeny of personality and its long-term persistence can influence behavioural propensities and task partitioning through later life stages in social spider colonies.Significance statementPersonalities have been demonstrated in a number of animal species. In animal societies, individuals with different personality types are known to engage in different activities within the group, leading to overall efficiency. Personalities have recently been shown to exist in social spiders. For example, aggressive spiders have a greater tendency to hunt prey than less aggressive individuals. However, for most animals, it remains unknown whether personality types manifest in very young individuals. Here, we show for the first time in social spiders that juveniles have personalities just as in adults. We also show that personality types persist over significant portions of individuals' life spans. These findings show that stable personality types can be important in collective tasks such as capturing prey."
X.ISI.000458763900084,Temperature preference of Nile tilapia (Oreochromis niloticus) juveniles induces spontaneous sex reversal,"Nivelle, Renaud and Gennotte, Vincent and Kalala, Emery Jules Kembolo and Nguyen Bich Ngoc and Muller, Marc and Melard, Charles and Rougeot, Carole",PLOS ONE,1932-6203,14,2,NA,2019,PUBLIC LIBRARY SCIENCE,10.1371/journal.pone.0212504,"Nile tilapia (Oreochromis niloticus) is an African freshwater fish that displays a genetic sex determination system (XX vertical bar XY) where high temperatures (above 32 degrees C to 36.5 degrees C) induce masculinization. In Nile tilapia, the thermosensitive period was reported from 10 to 30 days post fertilization. In their natural environment, juveniles may encounter high temperatures that are above the optimal temperature for growth (27-30 degrees C). The relevance of the thermal sex reversal mechanism in a natural context remains unclear. The main objective of our study is to determine whether sexually undifferentiated juveniles spontaneously prefer higher, unfavorable temperatures and whether this choice skews the sex ratio toward males. Five full-sib progenies (from 100\% XX crosses) were subjected to (1) a horizontal three-compartment thermal step gradient (thermal continuum 28 degrees C-32 degrees C-36.5 degrees C) during the thermosensitive period, (2) a control continuum (28 degrees C-28 degrees C-28 degrees C) and (3) a thermal control tank (36.5 degrees C). During the first days of the treatment, up to an average of 20\% of the population preferred the masculinizing compartment of the thermal continuum (36.5 degrees C) compared to the control continuum. During the second part of the treatment, juveniles preferred the lower, nonmasculinizing 32 degrees C temperature. This short exposure to higher temperatures was sufficient to significantly skew the sex ratio toward males, compared to congeners raised at 28 degrees C (from 5.0 +/- 6.7\% to 15.6 +/- 16.5\% of males). The proportion of males was significantly different in the thermal continuum, thermal control tank and control continuum, and it was positively correlated among populations. Our study shows for the first time that Nile tilapia juveniles can choose a masculinizing temperature during a short period of time. This preference is sufficient to induce sex reversal to males within a population. For the first time, behavior is reported as a potential player in the sex determination mechanism of this species."
